age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,name,team
34,93,70,92,44,17,1,9,86,45,0,88,4,.263,335,.356,.400,.756,0,0,.---,.---,5,1594,385,134,40,112,0,1,.328,0.76,0,37.22,Mike Tauchman,Chicago White Sox
23,90,87,80,45,17,2,14,85,16,0,89,3,.263,339,.300,.448,.748,3,10,.769,.231,7,1267,360,152,51,159,0,2,.310,1.09,0,24.21,Noelvi Marte,Cincinnati Reds
32,155,149,151,81,27,0,25,141,50,1,154,7,.262,587,.324,.436,.760,1,13,.929,.071,8,2602,652,256,92,256,1,7,.301,0.99,0,23.48,Brandon Nimmo,New York Mets
30,138,160,87,45,21,2,2,77,17,0,113,5,.262,431,.297,.334,.631,4,15,.789,.211,9,1631,459,144,40,184,5,1,.314,1.84,0,215.50,Isiah Kiner-Falefa,Toronto Blue Jays
30,137,68,91,51,14,1,4,50,19,0,70,1,.262,267,.313,.367,.680,1,12,.923,.077,5,1104,299,98,32,127,11,1,.308,0.75,0,66.75,Myles Straw,Toronto Blue Jays
36,114,83,88,35,18,0,7,46,24,1,76,0,.262,290,.318,.397,.715,0,5,1.000,.000,7,1166,317,115,27,125,3,0,.291,0.94,0,41.43,Miguel Rojas,Los Angeles Dodgers
30,162,132,177,92,40,3,30,155,65,4,164,5,.262,626,.335,.479,.814,1,6,.857,.143,13,2575,699,300,89,260,0,2,.302,0.75,1,20.87,Brent Rooker,Athletics
32,132,127,125,72,32,0,27,121,70,6,131,6,.261,501,.357,.487,.844,2,12,.857,.143,5,2172,580,244,75,222,0,3,.292,1.02,0,18.56,Bryce Harper,Philadelphia Phillies
27,155,111,139,78,25,5,34,139,56,2,137,10,.261,524,.343,.523,.866,0,4,1.000,.000,2,2324,592,274,90,191,0,2,.292,0.80,0,15.41,Michael Busch,Chicago Cubs
29,152,141,181,82,22,2,14,115,81,0,151,16,.261,579,.364,.378,.742,3,12,.800,.200,7,2645,685,219,53,180,4,5,.301,0.78,0,41.36,TJ Friedl,Cincinnati Reds
27,30,25,22,13,8,0,0,24,5,0,25,3,.260,96,.317,.344,.661,1,2,.667,.333,3,400,104,33,9,46,0,0,.347,1.14,0,-.--,Nick Sogard,Boston Red Sox
35,42,34,26,18,6,0,5,33,8,0,32,4,.260,123,.324,.431,.755,0,0,.---,.---,3,507,137,53,17,47,1,1,.314,1.31,0,24.60,James McCann,Arizona Diamondbacks
26,96,104,109,39,18,3,5,73,21,0,99,2,.260,381,.299,.362,.661,2,0,.000,1.000,12,1405,408,138,30,157,0,4,.306,0.95,0,76.20,Nick Gonzales,Pittsburgh Pirates
27,150,172,133,89,28,0,17,120,84,4,147,3,.260,566,.355,.399,.754,4,6,.600,.400,14,2556,659,226,76,250,0,6,.299,1.29,0,33.29,William Contreras,Milwaukee Brewers
28,102,69,112,54,20,1,16,128,27,1,108,3,.260,416,.309,.428,.737,1,2,.667,.333,9,1791,447,178,54,187,0,1,.337,0.62,0,26.00,Austin Riley,Atlanta Braves
24,143,111,158,107,32,17,31,153,67,4,146,7,.259,564,.343,.541,.884,6,32,.842,.158,6,2497,642,305,84,205,0,4,.299,0.70,0,18.19,Corbin Carroll,Arizona Diamondbacks
30,144,116,114,68,23,11,12,111,46,1,117,7,.259,452,.333,.438,.771,5,19,.792,.208,6,2035,511,198,49,203,1,5,.314,1.02,0,37.67,Zach McKinstry,Detroit Tigers
31,114,93,103,35,14,0,12,65,23,0,89,13,.259,344,.324,.404,.728,0,1,1.000,.000,8,1417,386,139,46,142,0,6,.282,0.90,0,28.67,Victor Caratini,Houston Astros
24,157,118,131,84,31,1,36,201,46,1,155,4,.258,600,.313,.493,.806,1,2,.667,.333,14,2706,655,296,111,285,0,5,.323,0.90,0,16.67,Riley Greene,Detroit Tigers
29,87,45,46,36,17,1,8,92,41,1,63,0,.258,244,.362,.434,.796,2,2,.500,.500,7,1255,288,106,28,113,0,2,.377,0.98,1,30.50,Pavin Smith,Arizona Diamondbacks
23,82,57,67,25,17,0,2,83,16,0,71,1,.258,275,.299,.342,.641,0,3,1.000,.000,5,1184,295,94,25,122,1,2,.359,0.85,0,137.50,Thomas Saggese,St. Louis Cardinals
32,150,136,243,95,23,2,20,68,61,2,152,3,.258,589,.326,.406,.732,2,8,.800,.200,15,2460,663,239,82,235,0,10,.258,0.56,0,29.45,Mookie Betts,Los Angeles Dodgers
24,148,108,119,62,27,5,16,174,43,0,139,4,.258,539,.317,.416,.733,8,19,.704,.296,9,2336,588,224,53,193,0,1,.351,0.91,1,33.69,Jordan Beck,Colorado Rockies
22,123,80,92,58,18,1,10,115,41,1,98,3,.257,381,.331,.388,.719,5,23,.821,.179,5,1692,429,148,47,166,0,4,.338,0.87,0,38.10,Jasson Domínguez,New York Yankees
33,135,112,115,70,31,1,20,142,44,1,126,23,.257,490,.344,.447,.791,1,5,.833,.167,15,2160,563,219,80,220,1,4,.319,0.97,1,24.50,Willson Contreras,St. Louis Cardinals
24,128,96,133,82,29,1,26,149,33,6,129,14,.257,502,.319,.474,.793,9,26,.743,.257,5,2171,554,238,62,141,2,3,.312,0.72,0,19.31,Zach Neto,Los Angeles Angels
34,134,124,123,57,26,1,12,129,35,1,129,9,.257,502,.315,.384,.699,2,8,.800,.200,13,2196,550,193,52,207,0,3,.321,1.01,1,41.83,J.T. Realmuto,Philadelphia Phillies
24,144,141,169,92,35,5,19,125,37,1,149,14,.257,580,.315,.433,.748,3,31,.912,.088,5,2320,635,251,60,191,1,3,.296,0.83,0,30.53,CJ Abrams,Washington Nationals
30,138,137,113,50,25,0,7,83,22,1,114,21,.257,444,.320,.360,.680,0,1,1.000,.000,11,1873,490,160,52,183,0,3,.300,1.21,0,63.43,Ty France,Toronto Blue Jays
32,126,99,105,55,17,3,12,109,10,0,107,6,.257,417,.282,.398,.680,1,5,.833,.167,8,1543,437,166,57,177,0,3,.318,0.94,1,34.75,Javier Báez,Detroit Tigers
27,147,116,170,66,22,3,13,91,54,1,128,1,.257,499,.328,.391,.719,5,24,.828,.172,4,2466,560,195,66,211,2,4,.288,0.68,0,38.38,Bryson Stott,Philadelphia Phillies
26,143,162,149,56,25,1,20,95,20,2,139,2,.256,542,.284,.417,.701,1,1,.500,.500,13,1871,567,226,70,251,0,3,.277,1.09,0,27.10,Yainer Diaz,Houston Astros
28,157,137,159,86,41,13,16,169,60,1,159,12,.256,620,.332,.442,.774,6,24,.800,.200,6,2624,696,274,84,223,1,3,.326,0.86,0,38.75,Jarren Duran,Boston Red Sox
25,157,147,162,85,24,1,21,158,52,2,159,17,.256,620,.328,.400,.728,4,6,.600,.400,16,2653,695,248,69,247,0,6,.309,0.91,0,29.52,Heliot Ramos,San Francisco Giants
30,134,107,127,79,19,0,31,149,38,1,130,2,.256,507,.307,.477,.784,2,3,.600,.400,6,2146,553,242,83,201,0,6,.297,0.84,0,16.36,Brandon Lowe,Tampa Bay Rays
25,136,134,154,60,25,0,11,50,30,0,114,24,.256,445,.334,.387,.721,6,18,.750,.250,10,1838,506,172,53,200,3,4,.265,0.87,0,40.46,Caleb Durbin,Milwaukee Brewers
23,76,61,49,32,12,1,11,73,27,0,63,4,.256,246,.339,.447,.786,0,0,.---,.---,6,1123,277,110,32,105,0,0,.321,1.24,0,22.36,Francisco Alvarez,New York Mets
23,137,87,123,65,22,2,13,102,48,1,106,2,.256,414,.333,.413,.746,1,1,.500,.500,7,1826,468,171,45,155,0,4,.307,0.71,0,31.85,Colt Keith,Detroit Tigers
22,157,143,84,87,38,0,31,221,85,8,153,3,.256,598,.350,.475,.825,7,15,.682,.318,12,2887,689,284,94,212,0,3,.350,1.70,0,19.29,James Wood,Washington Nationals
28,145,130,172,79,22,0,16,101,85,0,136,4,.256,532,.358,.387,.745,1,4,.800,.200,11,2652,628,206,74,179,0,7,.284,0.76,0,33.25,Gleyber Torres,Detroit Tigers
28,135,119,97,42,16,4,4,74,23,0,94,2,.255,368,.301,.353,.654,5,4,.444,.556,7,1470,409,130,33,151,13,3,.307,1.23,0,92.00,Kyle Isbel,Kansas City Royals
30,135,125,114,55,19,2,12,60,38,2,99,2,.255,388,.323,.407,.730,4,2,.333,.667,12,1662,438,158,65,162,7,3,.273,1.10,0,32.33,Nathan Lukes,Toronto Blue Jays
26,138,115,135,74,28,4,26,100,50,0,119,9,.255,467,.337,.499,.836,2,3,.600,.400,18,2047,530,233,65,208,0,2,.271,0.85,2,17.96,Ben Rice,New York Yankees
21,18,10,16,11,1,0,5,15,3,0,14,0,.255,55,.293,.545,.838,0,0,.---,.---,1,217,58,30,8,21,0,0,.257,0.63,0,11.00,Sal Stewart,Cincinnati Reds
25,130,117,71,53,13,2,18,108,33,0,100,2,.254,393,.313,.435,.748,0,8,1.000,.000,6,1753,432,171,50,161,0,3,.304,1.65,1,21.83,Brett Baty,New York Mets
26,102,73,135,53,15,1,20,76,50,0,96,8,.254,378,.352,.458,.810,1,0,.000,1.000,10,1943,438,173,53,158,0,2,.268,0.54,0,18.90,Isaac Paredes,Houston Astros
27,112,110,120,35,22,0,14,80,31,0,103,3,.254,406,.307,.411,.718,0,0,.---,.---,12,1722,447,167,65,209,1,6,.280,0.92,0,29.00,Andrew Vaughn,Milwaukee Brewers
23,122,149,119,54,15,0,5,72,45,0,114,6,.253,450,.329,.320,.649,4,14,.778,.222,14,2057,505,144,23,153,3,1,.291,1.25,0,90.00,Chase Meidroth,Chicago White Sox
29,39,54,38,14,9,0,3,26,6,0,39,2,.253,154,.285,.370,.655,3,1,.250,.750,6,569,165,57,21,63,0,3,.281,1.42,0,51.33,Thairo Estrada,Colorado Rockies
27,24,21,13,13,7,0,2,25,7,0,20,0,.253,79,.314,.418,.732,1,0,.000,1.000,0,338,86,33,8,37,0,0,.346,1.62,0,39.50,Griffin Conine,Miami Marlins
31,64,48,37,31,7,3,2,37,16,1,41,2,.253,162,.328,.370,.698,4,12,.750,.250,1,644,182,60,13,60,1,0,.317,1.30,1,81.00,Sam Haggerty,Texas Rangers
27,61,23,22,14,5,0,0,21,6,0,22,1,.253,87,.305,.310,.615,1,2,.667,.333,1,345,95,27,8,46,0,1,.328,1.05,0,-.--,Vidal Bruján,Atlanta Braves
23,95,76,103,44,18,4,9,98,21,0,91,1,.253,360,.294,.400,.694,3,5,.625,.375,2,1469,390,144,33,118,6,2,.322,0.74,0,40.00,Ezequiel Tovar,Colorado Rockies
24,85,90,55,36,13,0,1,64,15,0,70,1,.253,277,.294,.310,.604,1,5,.833,.167,5,1216,295,86,21,118,2,0,.325,1.64,0,277.00,Ben Williamson,Seattle Mariners
23,129,107,162,72,27,0,9,102,34,0,124,8,.253,491,.310,.363,.673,5,9,.643,.357,11,2256,537,178,51,192,2,2,.301,0.66,0,54.56,Masyn Winn,St. Louis Cardinals
28,163,139,127,99,33,0,35,192,112,10,153,6,.252,607,.372,.479,.851,1,1,.500,.500,16,3060,729,291,109,244,0,4,.307,1.09,0,17.34,Rafael Devers,San Francisco Giants
25,139,158,132,67,28,1,16,84,27,1,123,2,.252,488,.289,.412,.701,5,14,.737,.263,7,1838,526,201,66,197,0,9,.270,1.20,0,30.50,Luis García Jr.,Washington Nationals
29,145,111,154,57,28,1,19,107,44,1,124,5,.252,492,.317,.429,.746,1,2,.667,.333,9,2279,545,211,71,227,0,4,.284,0.72,0,25.90,Gavin Sheets,San Diego Padres
23,40,34,45,15,8,1,4,25,7,0,35,0,.252,139,.288,.410,.698,1,1,.500,.500,2,520,146,57,14,57,0,0,.282,0.76,0,34.75,Warming Bernabel,Colorado Rockies
27,130,84,136,66,18,5,26,106,18,0,109,7,.252,433,.291,.497,.788,1,1,.500,.500,3,1736,464,215,62,180,0,2,.274,0.62,4,16.65,Kerry Carpenter,Detroit Tigers
27,131,108,124,53,23,1,14,129,27,0,121,2,.251,482,.294,.390,.684,1,4,.800,.200,10,1931,511,188,61,200,0,0,.316,0.87,0,34.43,Josh Jung,Texas Rangers
25,88,68,78,42,17,1,8,90,18,0,78,5,.251,311,.300,.389,.689,2,8,.800,.200,3,1245,337,121,34,137,0,3,.324,0.87,0,38.88,Connor Norby,Miami Marlins
30,109,88,93,32,13,0,5,65,19,1,80,2,.251,319,.297,.339,.636,2,1,.333,.667,5,1372,347,108,26,132,7,0,.301,0.95,0,63.80,Freddy Fermin,San Diego Padres
27,144,139,136,70,23,2,10,100,55,2,124,8,.251,495,.335,.366,.701,3,12,.800,.200,3,2287,563,181,35,190,3,1,.295,1.02,1,49.50,Josh Smith,Texas Rangers
28,142,124,137,62,24,1,17,122,53,2,126,4,.250,503,.323,.404,.727,4,4,.500,.500,19,2191,567,203,60,209,0,6,.295,0.91,1,29.59,Trevor Larnach,Minnesota Twins
33,147,126,157,72,27,2,17,133,32,0,137,4,.250,547,.294,.400,.694,0,4,1.000,.000,13,2166,589,219,72,267,0,6,.298,0.80,0,32.18,Nick Castellanos,Philadelphia Phillies
29,76,55,36,20,4,0,1,29,17,0,38,0,.250,152,.324,.296,.620,3,6,.667,.333,2,669,175,45,12,65,5,1,.301,1.53,0,152.00,Miles Mastrobuoni,Seattle Mariners
28,89,79,78,34,18,0,7,98,15,0,83,4,.250,332,.286,.367,.653,0,3,1.000,.000,10,1354,357,122,35,147,0,6,.326,1.01,0,47.43,Ryan Mountcastle,Baltimore Orioles
29,43,30,36,5,4,0,0,24,6,0,30,1,.250,120,.291,.283,.574,0,1,1.000,.000,3,476,127,34,13,51,0,0,.313,0.83,0,-.--,Emmanuel Rivera,Baltimore Orioles
27,140,132,130,56,28,3,9,100,32,0,119,1,.250,476,.296,.378,.674,1,4,.800,.200,11,1955,514,180,53,210,0,5,.296,1.02,0,52.89,Eric Wagaman,Miami Marlins
25,143,131,82,51,19,3,9,122,21,0,108,5,.249,433,.289,.370,.659,4,7,.636,.364,2,1678,469,160,38,193,6,4,.324,1.60,0,48.11,Alek Thomas,Arizona Diamondbacks
30,111,88,113,48,13,1,17,80,45,0,92,3,.249,369,.333,.428,.761,0,2,1.000,.000,11,1667,421,158,50,191,0,4,.272,0.78,0,21.71,Carson Kelly,Chicago Cubs
28,93,72,49,21,12,1,4,93,40,0,71,7,.249,285,.355,.340,.695,1,1,.500,.500,14,1345,332,97,30,133,0,0,.356,1.47,0,71.25,Joey Bart,Pittsburgh Pirates
24,156,139,159,84,34,4,16,117,28,0,136,8,.249,546,.295,.414,.709,5,20,.800,.200,9,2128,587,226,63,253,3,2,.289,0.87,0,34.12,Ceddanne Rafaela,Boston Red Sox
24,160,193,149,55,26,6,20,128,16,1,152,3,.249,611,.268,.409,.677,6,20,.769,.231,7,2177,641,250,86,307,4,7,.281,1.30,0,30.55,Michael Harris II,Atlanta Braves
31,129,121,188,52,24,2,19,76,31,0,124,6,.248,500,.295,.418,.713,4,10,.714,.286,11,1994,546,209,80,226,0,9,.254,0.64,0,26.32,Lourdes Gurriel Jr.,Arizona Diamondbacks
22,63,49,56,31,9,2,5,41,19,1,48,7,.247,194,.336,.392,.728,2,14,.875,.125,2,822,220,76,25,75,0,0,.291,0.88,0,38.80,Evan Carter,Texas Rangers
26,68,93,74,19,12,0,2,26,8,0,63,3,.247,255,.277,.318,.595,2,0,.000,1.000,4,888,267,81,25,102,0,1,.268,1.26,0,127.50,Keibert Ruiz,Washington Nationals
23,157,116,192,91,37,4,31,155,29,1,146,9,.247,591,.287,.481,.768,8,35,.814,.186,1,2312,647,284,95,274,6,12,.276,0.60,0,19.06,Pete Crow-Armstrong,Chicago Cubs
26,119,101,99,37,13,1,6,56,43,0,82,9,.247,332,.346,.346,.692,0,2,1.000,.000,5,1537,390,115,45,144,3,3,.278,1.02,0,55.33,Liam Hicks,Miami Marlins
37,71,43,44,10,4,1,3,40,8,0,41,3,.247,166,.291,.337,.628,0,0,.---,.---,9,704,179,56,21,89,0,2,.304,0.98,0,55.33,Donovan Solano,Texas Rangers
26,115,63,121,53,17,0,22,101,40,5,92,0,.247,373,.317,.469,.786,3,6,.667,.333,8,1600,417,175,69,179,1,3,.277,0.52,0,16.96,Wilyer Abreu,Boston Red Sox
28,159,79,185,110,24,0,60,188,97,17,147,9,.247,596,.359,.589,.948,4,14,.778,.222,6,2833,705,351,125,243,0,3,.248,0.43,0,9.93,Cal Raleigh,Seattle Mariners
32,134,136,120,65,29,1,25,134,26,0,126,3,.247,511,.284,.454,.738,2,5,.714,.286,13,2139,546,232,89,244,0,5,.283,1.13,1,20.44,Teoscar Hernández,Los Angeles Dodgers
29,30,18,14,4,6,0,0,21,8,0,17,0,.246,69,.325,.333,.658,0,0,.---,.---,1,333,78,23,4,26,1,0,.354,1.29,0,-.--,Jhonny Pereda,Minnesota Twins
26,143,174,157,66,21,0,15,82,44,2,134,3,.246,544,.305,.368,.673,6,15,.714,.286,9,2129,594,200,77,228,0,3,.264,1.11,0,36.27,Otto Lopez,Miami Marlins
31,135,101,119,61,20,1,11,107,69,1,103,15,.246,419,.367,.377,.744,3,3,.500,.500,4,2184,515,158,59,189,4,7,.299,0.85,1,38.09,Jake Cronenworth,San Diego Padres
30,154,155,118,68,38,3,16,173,57,1,144,7,.245,587,.318,.402,.720,2,3,.600,.400,15,2631,654,236,73,249,0,3,.319,1.31,0,36.69,Bryan Reynolds,Pittsburgh Pirates
32,80,64,117,56,16,1,14,59,48,0,78,5,.245,318,.353,.434,.787,2,9,.818,.182,4,1580,371,138,43,101,0,0,.261,0.55,0,22.71,Jurickson Profar,Atlanta Braves
28,32,29,27,12,4,1,1,26,3,0,26,3,.245,106,.281,.330,.611,2,6,.750,.250,3,375,114,35,9,44,0,2,.309,1.07,0,106.00,Victor Robles,Seattle Mariners
30,151,98,177,75,31,3,32,164,71,1,140,1,.245,571,.326,.478,.804,2,5,.714,.286,13,2727,651,273,103,246,0,8,.282,0.55,0,17.84,Seiya Suzuki,Chicago Cubs
25,34,15,22,17,6,0,2,37,11,0,24,0,.245,98,.321,.367,.688,0,1,1.000,.000,2,480,109,36,10,50,0,0,.373,0.68,0,49.00,Zach Dezenzo,Houston Astros
37,120,113,94,44,17,1,10,94,50,3,96,2,.245,392,.330,.370,.700,3,5,.625,.375,12,1706,449,145,52,168,0,5,.294,1.20,0,39.20,Tommy Pham,Pittsburgh Pirates
27,48,20,24,19,2,0,2,24,20,0,22,1,.244,90,.387,.333,.720,0,6,1.000,.000,1,520,111,30,9,52,0,0,.313,0.83,0,45.00,Leo Rivas,Seattle Mariners
27,77,48,112,20,9,0,3,43,9,0,64,1,.244,262,.268,.313,.581,1,2,.667,.333,3,1013,277,82,20,112,1,4,.277,0.43,0,87.33,Michael Massey,Kansas City Royals
25,100,66,112,47,17,4,13,87,31,0,84,3,.244,344,.308,.430,.738,3,8,.727,.273,5,1534,383,148,43,170,0,5,.285,0.59,0,26.46,Wenceel Pérez,Detroit Tigers
31,159,137,147,84,24,3,24,168,47,1,144,2,.244,590,.300,.417,.717,3,20,.870,.130,9,2521,645,246,77,264,1,5,.298,0.93,0,24.58,Dansby Swanson,Chicago Cubs
25,135,110,119,61,32,1,21,121,36,4,112,3,.243,460,.301,.454,.755,1,4,.800,.200,8,1955,502,209,74,214,0,2,.284,0.92,1,21.90,Addison Barger,Toronto Blue Jays
24,50,54,25,19,13,2,0,37,15,0,37,1,.243,152,.314,.355,.669,1,3,.750,.250,4,678,169,54,16,62,0,1,.319,2.16,0,-.--,José Tena,Washington Nationals
33,122,109,144,42,21,5,12,55,49,4,97,8,.243,399,.335,.411,.746,0,3,1.000,.000,5,1718,462,164,54,169,2,4,.253,0.76,0,33.25,Jeff McNeil,New York Mets
26,34,32,26,17,4,0,1,25,11,0,26,2,.243,107,.322,.308,.630,1,0,.000,1.000,1,441,122,33,11,51,1,1,.305,1.23,0,107.00,Oswaldo Cabrera,New York Yankees
34,100,61,98,48,10,2,19,83,64,2,76,6,.243,313,.376,.470,.846,0,4,1.000,.000,4,1650,388,147,67,146,0,5,.264,0.62,0,16.47,Max Muncy,Los Angeles Dodgers
22,120,97,107,40,22,4,6,41,19,0,76,2,.243,313,.287,.396,.683,5,6,.545,.455,2,1218,342,124,38,128,4,4,.259,0.91,0,52.17,Javier Sanoja,Miami Marlins
26,71,51,45,21,6,3,1,60,11,0,50,2,.243,206,.288,.316,.604,3,5,.625,.375,2,795,219,65,14,93,0,0,.338,1.13,0,206.00,Drew Waters,Kansas City Royals
30,150,120,165,87,32,0,23,151,87,2,138,2,.243,569,.342,.420,.762,3,6,.667,.333,8,2717,663,239,79,207,0,5,.288,0.73,0,24.74,Ian Happ,Chicago Cubs
30,114,80,115,25,12,0,0,38,21,0,73,1,.243,301,.292,.282,.574,1,2,.667,.333,11,1302,328,85,16,128,3,2,.275,0.70,0,-.--,Santiago Espinal,Cincinnati Reds
27,130,90,117,75,15,1,31,148,58,1,112,6,.242,462,.332,.481,.813,8,31,.795,.205,3,2138,531,222,80,222,1,4,.282,0.77,0,14.90,Jazz Chisholm Jr.,New York Yankees
21,149,167,138,70,21,3,17,140,56,1,142,6,.242,586,.314,.375,.689,11,17,.607,.393,4,2450,649,220,55,191,0,1,.291,1.21,0,34.47,Jackson Holliday,Baltimore Orioles
25,44,16,30,9,6,0,4,47,8,0,29,1,.242,120,.290,.392,.682,0,0,.---,.---,2,535,131,47,17,63,0,2,.352,0.53,0,30.00,Adrian Del Castillo,Arizona Diamondbacks
31,112,88,101,33,17,0,11,88,27,0,85,2,.241,352,.292,.384,.676,0,3,1.000,.000,6,1509,391,135,44,155,0,10,.281,0.87,0,32.00,Ramón Urías,Houston Astros
23,134,87,138,73,25,1,22,151,74,3,118,5,.241,489,.344,.431,.775,6,22,.786,.214,9,2335,573,211,62,185,0,5,.299,0.63,0,22.23,Wyatt Langford,Texas Rangers
30,133,110,132,43,21,0,7,42,24,0,89,1,.241,369,.289,.355,.644,0,3,1.000,.000,12,1346,398,131,33,175,3,1,.255,0.83,0,52.71,Mauricio Dubón,Houston Astros
33,125,87,146,44,10,0,16,88,34,0,101,7,.241,419,.307,.379,.686,0,1,1.000,.000,14,1918,463,159,71,185,0,3,.267,0.60,0,26.19,Wilmer Flores,San Francisco Giants
35,94,68,92,33,14,1,11,72,20,0,73,2,.241,303,.291,.403,.694,1,3,.750,.250,5,1279,327,122,47,120,0,2,.279,0.74,0,27.54,Kyle Higashioka,Texas Rangers
30,76,38,58,31,9,0,6,49,25,1,46,1,.241,191,.332,.382,.714,3,4,.571,.429,1,834,217,73,23,73,0,0,.294,0.66,0,31.83,Jake Fraley,Atlanta Braves
26,118,98,101,51,27,0,15,111,38,0,97,1,.241,403,.306,.419,.725,1,1,.500,.500,12,1829,446,169,50,207,2,2,.294,0.97,0,26.87,Carlos Narváez,Boston Red Sox
24,60,54,32,22,9,3,1,61,10,0,45,5,.241,187,.296,.337,.633,1,3,.750,.250,7,773,207,63,18,85,4,1,.349,1.69,0,187.00,Ryan Ritter,Colorado Rockies
30,116,88,155,57,16,2,20,82,40,2,101,3,.240,420,.307,.431,.738,0,1,1.000,.000,5,1721,470,181,63,176,0,6,.250,0.57,1,21.00,Andrew Benintendi,Chicago White Sox
28,157,146,223,74,23,2,16,94,55,2,145,4,.240,603,.306,.365,.671,3,14,.824,.176,9,2402,667,220,74,266,0,5,.259,0.65,0,37.69,Ozzie Albies,Atlanta Braves
32,162,114,149,111,23,2,56,197,108,6,145,11,.240,604,.365,.563,.928,2,10,.833,.167,4,3059,724,340,132,284,0,1,.253,0.77,0,10.79,Kyle Schwarber,Philadelphia Phillies
24,103,68,80,32,15,1,11,86,21,0,72,1,.240,300,.290,.407,.697,0,5,1.000,.000,9,1251,328,122,38,138,4,2,.298,0.85,0,27.27,Brooks Baldwin,Chicago White Sox
25,155,88,176,82,27,1,31,169,72,6,135,9,.240,563,.333,.456,.789,1,2,.667,.333,12,2634,649,257,78,230,0,5,.283,0.50,0,18.16,Spencer Torkelson,Detroit Tigers
28,77,76,84,33,13,0,7,42,14,1,62,6,.239,259,.289,.371,.660,1,2,.667,.333,1,1105,284,96,27,98,0,5,.256,0.90,0,37.00,Abraham Toro,Boston Red Sox
23,71,50,62,43,9,1,21,83,25,1,61,2,.239,255,.311,.529,.840,0,0,.---,.---,3,1082,284,135,55,134,0,1,.263,0.81,1,12.14,Colson Montgomery,Chicago White Sox
38,135,118,130,51,22,0,13,118,67,5,114,2,.239,477,.333,.367,.700,1,1,.500,.500,12,2267,551,175,57,201,0,3,.289,0.91,2,36.69,Andrew McCutchen,Pittsburgh Pirates
32,91,47,62,24,8,0,4,26,12,0,42,4,.239,176,.301,.352,.653,1,4,.800,.200,6,716,193,62,21,86,0,1,.259,0.76,0,44.00,Andy Ibáñez,Detroit Tigers
28,31,16,29,6,3,0,1,24,7,0,21,3,.239,88,.310,.307,.617,0,2,1.000,.000,1,436,100,27,11,26,0,2,.308,0.55,0,88.00,Matt Vierling,Detroit Tigers
29,56,61,58,21,10,0,0,31,14,0,47,2,.239,197,.296,.289,.585,0,1,1.000,.000,1,880,213,57,12,84,0,0,.283,1.05,0,-.--,Alex Verdugo,Atlanta Braves
30,160,125,156,95,32,1,27,191,64,2,146,27,.238,613,.334,.426,.760,6,31,.838,.162,9,2873,709,261,76,278,0,5,.298,0.80,0,22.70,Randy Arozarena,Seattle Mariners
28,71,41,76,43,13,2,20,77,17,1,59,1,.238,248,.284,.548,.832,0,2,1.000,.000,1,986,271,136,55,123,0,5,.250,0.54,0,12.40,Daulton Varsho,Toronto Blue Jays
27,146,99,163,66,21,2,21,129,51,0,121,5,.238,509,.312,.411,.723,1,7,.875,.125,12,2316,568,209,75,221,1,2,.277,0.61,0,24.24,Spencer Steer,Cincinnati Reds
34,154,111,162,72,24,1,27,177,40,1,139,11,.238,585,.297,.421,.718,1,2,.667,.333,10,2513,640,246,88,284,0,4,.291,0.69,0,21.67,Christian Walker,Houston Astros
32,94,95,86,30,20,0,4,39,15,0,67,0,.238,282,.272,.351,.623,0,0,.---,.---,9,1063,302,99,22,114,1,4,.259,1.10,0,70.50,Jose Trevino,Cincinnati Reds
33,59,54,47,10,14,1,0,40,13,0,43,0,.238,181,.287,.326,.613,1,0,.000,1.000,6,717,197,59,20,87,2,1,.303,1.15,0,-.--,Gio Urshela,Athletics
28,147,156,126,55,16,3,9,104,33,0,119,3,.238,501,.287,.335,.622,7,10,.588,.412,7,2008,541,168,43,189,1,3,.281,1.24,0,55.67,Luis Rengifo,Los Angeles Angels
27,134,121,115,61,21,4,14,110,42,1,107,2,.237,451,.304,.395,.699,3,13,.813,.188,10,1936,497,178,48,196,0,2,.283,1.05,0,32.21,Jesús Sánchez,Houston Astros
32,140,137,135,54,16,1,22,88,57,1,111,5,.237,468,.325,.417,.742,3,0,.000,1.000,15,2102,533,195,63,189,0,3,.247,1.01,0,21.27,Josh Bell,Washington Nationals
26,95,58,101,34,15,0,12,83,27,1,74,5,.237,312,.305,.401,.706,0,0,.---,.---,6,1330,348,125,40,149,1,3,.282,0.57,0,26.00,Casey Schmitt,San Francisco Giants
34,107,101,160,48,18,1,12,49,28,4,95,3,.237,401,.289,.377,.666,0,3,1.000,.000,10,1586,436,151,52,196,0,4,.241,0.63,0,33.42,Nolan Arenado,St. Louis Cardinals
26,106,76,133,36,18,0,13,80,25,0,89,0,.237,376,.283,.388,.671,2,12,.857,.143,7,1517,403,146,52,167,0,2,.267,0.57,0,28.92,Royce Lewis,Minnesota Twins
