age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,name,team
21,71,62,37,48,18,1,8,84,40,0,75,5,.292,257,.396,.463,.859,1,4,.800,.200,2,1283,303,119,32,105,0,1,.404,1.68,0,32.12,Roman Anthony,Boston Red Sox
29,104,94,86,53,15,2,3,67,31,0,100,3,.292,343,.354,.373,.727,5,16,.762,.238,9,1340,381,128,24,133,2,2,.353,1.09,0,114.33,Jake Meyers,Houston Astros
34,40,24,19,13,8,0,6,32,5,0,30,0,.291,103,.321,.544,.865,0,0,.---,.---,3,443,110,56,21,42,1,1,.364,1.26,0,17.17,Austin Wynns,Athletics
22,117,73,77,90,26,2,36,151,63,3,122,2,.290,420,.383,.619,1.002,1,2,.667,.333,4,1954,489,260,86,158,0,3,.364,0.95,1,11.67,Nick Kurtz,Athletics
27,95,72,66,74,12,1,21,102,71,4,98,3,.290,338,.417,.518,.935,1,9,.900,.100,5,1741,412,175,42,127,0,0,.358,1.09,0,16.10,Ronald Acuña Jr.,Atlanta Braves
25,161,167,193,98,33,5,20,83,94,1,173,10,.290,597,.389,.462,.851,6,27,.818,.182,11,3007,720,276,100,214,8,11,.303,0.87,0,29.85,Geraldo Perdomo,Arizona Diamondbacks
26,139,119,160,54,26,2,18,79,39,1,144,3,.290,497,.343,.459,.802,1,5,.833,.167,14,1933,546,228,69,215,1,4,.312,0.74,2,27.61,Alec Burleson,St. Louis Cardinals
34,64,30,52,25,8,1,3,31,12,0,43,6,.289,149,.361,.416,.777,0,2,1.000,.000,1,627,174,62,20,50,5,2,.342,0.58,0,49.67,Tyler Heineman,Toronto Blue Jays
27,117,79,85,61,21,3,25,125,48,3,115,5,.288,399,.368,.544,.912,1,5,.833,.167,6,1712,457,217,73,172,1,4,.356,0.93,0,15.96,Kyle Stowers,Miami Marlins
25,142,153,151,76,20,3,12,80,47,0,152,7,.288,528,.351,.405,.756,6,19,.760,.240,4,2311,594,214,63,222,3,5,.317,1.01,4,44.00,Sal Frelick,Milwaukee Brewers
25,156,132,141,97,28,2,18,150,66,1,168,2,.288,584,.359,.435,.794,8,24,.750,.250,3,2772,659,254,81,214,2,5,.356,0.94,0,32.44,Brice Turang,Milwaukee Brewers
